Method,series size n,visibility,series_type,computation time (s)
Basic,10.0,hvg,conway,5e-05
Basic,10.0,hvg,random,7.6e-05
Basic,10.0,hvg,walk,8.8e-05
Basic,10.0,nvg,conway,0.00011
Basic,10.0,nvg,random,9.1e-05
Basic,10.0,nvg,walk,9.9e-05
Basic,50.0,hvg,conway,0.00093
Basic,50.0,hvg,random,0.001848
Basic,50.0,hvg,walk,0.002094
Basic,50.0,nvg,conway,0.0034
Basic,50.0,nvg,random,0.002718
Basic,50.0,nvg,walk,0.003278
Basic,100.0,hvg,conway,0.004
Basic,100.0,hvg,random,0.007901
Basic,100.0,hvg,walk,0.008403
Basic,100.0,nvg,conway,0.01597
Basic,100.0,nvg,random,0.012175
Basic,100.0,nvg,walk,0.015197
Basic,500.0,hvg,conway,0.13899
Basic,500.0,hvg,random,0.230339
Basic,500.0,hvg,walk,0.264031
Basic,500.0,nvg,conway,0.67737
Basic,500.0,nvg,random,0.393526
Basic,500.0,nvg,walk,0.670357
Basic,1000.0,hvg,conway,0.75249
Basic,1000.0,hvg,random,1.120514
Basic,1000.0,hvg,walk,1.387327
Basic,1000.0,nvg,conway,4.23953
Basic,1000.0,nvg,random,2.033728
Basic,1000.0,nvg,walk,3.481316
Basic,5000.0,hvg,conway,59.16062
Basic,5000.0,hvg,random,86.436414
Basic,5000.0,hvg,walk,100.988407
Basic,5000.0,nvg,conway,446.63324
Basic,5000.0,nvg,random,170.048581
Basic,5000.0,nvg,walk,276.422905
Basic,10000.0,hvg,random,659.362193
Basic,10000.0,hvg,walk,649.147178
Basic,10000.0,nvg,conway,3403.7569
Basic,10000.0,nvg,random,1310.710107
Basic,10000.0,nvg,walk,1626.183239
DC,10.0,hvg,conway,8e-05
DC,10.0,hvg,random,7.9e-05
DC,10.0,hvg,walk,0.000104
DC,10.0,nvg,conway,9e-05
DC,10.0,nvg,random,8.1e-05
DC,10.0,nvg,walk,0.000103
DC,50.0,hvg,conway,0.00089
DC,50.0,hvg,random,0.000889
DC,50.0,hvg,walk,0.001364
DC,50.0,nvg,conway,0.00116
DC,50.0,nvg,random,0.000879
DC,50.0,nvg,walk,0.00163
DC,100.0,hvg,conway,0.0027
DC,100.0,hvg,random,0.002176
DC,100.0,hvg,walk,0.004643
DC,100.0,nvg,conway,0.00357
DC,100.0,nvg,random,0.002236
DC,100.0,nvg,walk,0.006693
DC,500.0,hvg,conway,0.03875
DC,500.0,hvg,random,0.019295
DC,500.0,hvg,walk,0.063783
DC,500.0,nvg,conway,0.07043
DC,500.0,nvg,random,0.023355
DC,500.0,nvg,walk,0.18924
DC,1000.0,hvg,conway,0.14649
DC,1000.0,hvg,random,0.043569
DC,1000.0,hvg,walk,0.21007
DC,1000.0,nvg,conway,0.34237
DC,1000.0,nvg,random,0.056134
DC,1000.0,nvg,walk,0.674253
DC,5000.0,hvg,conway,10.28668
DC,5000.0,hvg,random,0.422244
DC,5000.0,hvg,walk,5.571386
DC,5000.0,nvg,conway,42.54252
DC,5000.0,nvg,random,0.648038
DC,5000.0,nvg,walk,32.534829
DC,10000.0,hvg,random,1.247661
DC,10000.0,hvg,walk,20.842923
DC,10000.0,nvg,random,1.829893
DC,10000.0,nvg,walk,96.12971
BST,10.0,hvg,conway,0.00011
BST,10.0,hvg,random,9.2e-05
BST,10.0,hvg,walk,0.0001
BST,10.0,nvg,conway,0.00017
BST,10.0,nvg,random,0.000164
BST,10.0,nvg,walk,0.00021
BST,50.0,hvg,conway,0.00091
BST,50.0,hvg,random,0.000699
BST,50.0,hvg,walk,0.00088
BST,50.0,nvg,conway,0.00237
BST,50.0,nvg,random,0.001767
BST,50.0,nvg,walk,0.003045
BST,100.0,hvg,conway,0.00228
BST,100.0,hvg,random,0.001548
BST,100.0,hvg,walk,0.002586
BST,100.0,nvg,conway,0.00701
BST,100.0,nvg,random,0.004604
BST,100.0,nvg,walk,0.012379
BST,500.0,hvg,conway,0.02324
BST,500.0,hvg,random,0.01121
BST,500.0,hvg,walk,0.024602
BST,500.0,nvg,conway,0.22782
BST,500.0,nvg,random,0.067433
BST,500.0,nvg,walk,0.353175
BST,1000.0,hvg,conway,0.07587
BST,1000.0,hvg,random,0.021587
BST,1000.0,hvg,walk,0.068234
BST,1000.0,nvg,conway,1.44403
BST,1000.0,nvg,random,0.220012
BST,1000.0,nvg,walk,1.506914
BST,5000.0,hvg,conway,1.62255
BST,5000.0,hvg,random,0.12978
BST,5000.0,hvg,walk,0.71024
BST,5000.0,nvg,conway,165.94568
BST,5000.0,nvg,random,5.585065
BST,5000.0,nvg,walk,74.466456
BST,10000.0,hvg,random,0.28013
BST,10000.0,hvg,walk,1.717806
BST,10000.0,nvg,random,22.957456
BST,10000.0,nvg,walk,310.490447
